"Career","Term Code","Term Descr","Session Code","Session Descr","Session Begin Date DD/MM/YYYY","Session End Date DD/MM/YYYY"
"CCCE","2142","Fall 2014","10W","CCE 10 Week PT","01/09/2014","31/12/2014"
"CCCE","2142","Fall 2014","2W","2 Week","24/11/2014","31/12/2014"
"CCCE","2144","Winter 2015","10W","CCE 10 Week PT","01/01/2015","31/03/2015"
"CCCE","2145","Spring 2015","10W","CCE 10 Week PT","01/04/2015","30/06/2015"
"CCCE","2146","Summer 2015","10W","CCE 10 Week PT","01/07/2015","31/08/2015"
"CCCE","2152","Fall 2015","10W","CCE 10 Week PT","01/09/2015","31/12/2015"
"CCCE","2154","Winter 2016","10W","CCE 10 Week PT","01/01/2016","31/03/2016"
"CCCE","2155","Spring 2016","10W","CCE 10 Week PT","01/04/2016","30/06/2016"
"CCCE","2156","Summer 2016","10W","CCE 10 Week PT","13/06/2016","31/08/2016"
"CCCE","2162","Fall 2016","10W","CCE 10 Week PT","01/09/2016","31/12/2016"
"CCCE","2164","Winter 2017","10W","CCE 10 Week PT","01/01/2017","31/03/2017"
"CCCE","2165","Spring 2017","10W","CCE 10 Week PT","01/04/2017","30/06/2017"
"CCCE","2166","Summer 2017","10W","CCE 10 Week PT","15/06/2017","31/08/2017"
"CCCE","2172","Fall 2017","10W","CCE 10 Week PT","01/09/2017","31/12/2017"
"CCCE","2172","Fall 2017","2W","2 Week","24/11/2017","31/12/2017"
"CCCE","2174","Winter 2018","10W","CCE 10 Week PT","01/01/2018","31/03/2018"
"CCCE","2175","Spring 2018","10W","CCE 10 Week PT","01/04/2018","30/06/2018"
"CCCE","2176","Summer 2018","10W","CCE 10 Week PT","15/06/2018","31/08/2018"
"CCCE","2182","Fall 2018","10W","CCE 10 Week PT","01/09/2018","31/12/2018"
"CCCE","2182","Fall 2018","2W","2 Week","24/11/2018","31/12/2018"
"CCCE","2184","Winter 2019","10W","CCE 10 Week PT","01/01/2019","31/03/2019"
"CCCE","2185","Spring 2019","10W","CCE 10 Week PT","01/04/2019","30/06/2019"
"CCCE","2186","Summer 2019","10W","CCE 10 Week PT","15/06/2019","31/08/2019"
"CCCE","2192","Fall 2019","10W","CCE 10 Week PT","01/09/2019","31/12/2019"
