course_id,course_credit,prereqdescription,career,equivalent_course_description,term,session,subject,catalogue,title,location_description,course_name,
47199,4,Course Prerequisite:Course Co-requisite: ENGR213,UGRD,,Fall 2024,13W,AERO,201,Introduction to Flight and Aerospace System,Sir George Williams Campus,"Prerequisite: ENGR 213 previously or concurrently. Introduction to flight vehicles in the atmosphere and in space; elements of aerodynamics, airfoils and wings; aerospace technologies including structures, materials and propulsion systems; elements of aircraft performance; basic principles of flight stability, control and systems integration; aspects of aircraft conceptual design. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.NOTE: Permission of the Department is required for non‑Aerospace Engineering students.",
47199,4,Course Prerequisite:Course Co-requisite: ENGR213,UGRD,,Fall 2025,13W,AERO,201,Introduction to Flight and Aerospace System,Sir George Williams Campus,"Prerequisite: ENGR 213 previously or concurrently. Introduction to flight vehicles in the atmosphere and in space; elements of aerodynamics, airfoils and wings; aerospace technologies including structures, materials and propulsion systems; elements of aircraft performance; basic principles of flight stability, control and systems integration; aspects of aircraft conceptual design. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.NOTE: Permission of the Department is required for non‑Aerospace Engineering students.",
47199,4,Course Prerequisite:Course Co-requisite: ENGR213,UGRD,,Winter 2026,13W,AERO,201,Introduction to Flight and Aerospace System,Sir George Williams Campus,"Prerequisite: ENGR 213 previously or concurrently. Introduction to flight vehicles in the atmosphere and in space; elements of aerodynamics, airfoils and wings; aerospace technologies including structures, materials and propulsion systems; elements of aircraft performance; basic principles of flight stability, control and systems integration; aspects of aircraft conceptual design. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.NOTE: Permission of the Department is required for non‑Aerospace Engineering students.",
49313,3,Prerequisite: AERO 201; ENCS 282 previously or concurrently.,UGRD,,Fall 2025,13W,AERO,290,INTRODUCTION TO AIRCRAFT DESIGN,Sir George Williams Campus,"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design‑related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take‑off weight, empty weight and fuel‑fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust‑to‑weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week.",
49313,3,Prerequisite: AERO 201; ENCS 282 previously or concurrently.,UGRD,,Winter 2024,13W,AERO,290,INTRODUCTION TO AIRCRAFT DESIGN,Sir George Williams Campus,"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design‑related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take‑off weight, empty weight and fuel‑fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust‑to‑weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week.",
49313,3,Prerequisite: AERO 201; ENCS 282 previously or concurrently.,UGRD,,Winter 2025,13W,AERO,290,INTRODUCTION TO AIRCRAFT DESIGN,Sir George Williams Campus,"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design‑related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take‑off weight, empty weight and fuel‑fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust‑to‑weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week.",
49313,3,Prerequisite: AERO 201; ENCS 282 previously or concurrently.,UGRD,,Winter 2026,13W,AERO,290,INTRODUCTION TO AIRCRAFT DESIGN,Sir George Williams Campus,"Prerequisite: AERO 201; ENCS 282 previously or concurrently. Students taking this course will work as part of a multidisciplinary team to solve an assigned aerospace conceptual design problem. The course provides introductory, design‑related knowledge on aerospace design topics including structural layout, powerplant integration, integrated systems requirements (such as avionics, electrical, flight controls, hydraulic, fuel, air, pressurization) and preliminary performance predictions. Lectures instruct students on the conceptual design process; aircraft sizing including take‑off weight, empty weight and fuel‑fraction estimates; mission analysis and trade studies; airfoil selection; constraint diagrams for thrust‑to‑weight and wing loading estimation; fuselage layout, engines and control surface sizing; structural and systems layout; introductory stability, control and performance; and cost analysis methods. Lectures: three hours per week. Tutorial: two hours per week.",
47200,3.5,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently.",UGRD,,Fall 2024,13W,AERO,371,Modelling and Control Systems,Sir George Williams Campus,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",
47200,3.5,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently.",UGRD,,Fall 2025,13W,AERO,371,Modelling and Control Systems,Sir George Williams Campus,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",
47200,3.5,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 342 or ELEC 364 previously or concurrently.",UGRD,,Winter 2024,13W,AERO,371,Modelling and Control Systems,Sir George Williams Campus,"Prerequisite: PHYS 205; ENGR 213, 243; ENGR 311 or ELEC 364 or ELEC 342 previously or concurrently. Definition and classification of dynamic systems and components. Modelling of system components using ordinary differential equations: mechanical, electrical, electromechanical, and electrohydraulic subsystems in an airplane. Modelling of systems using transfer function models, block diagrams and signal flow graphs. Linearization of non-linear systems. Transient and steady-state characteristics of dynamic systems. Systems analyses using time domain methods, root-locus methods, and frequency response methods. Characteristics and performance of linear feedback control systems. System stability. Proportional, integral and derivative controllers. Simulation technique using Matlab/Simulink. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.NOTE: Students who have received credit for ELEC 372 or MECH 371 may not take this course for credit.",
