Term,Course,Description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,FNS,R,NR,Date
Fall 2025,COMP 333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,2026-02-04T02:31:15.928Z
Fall 2025,COMP 333,,0,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,0,0,0,0,0,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,333,1,10,26,17,28,2026-02-04T02:31:15.928Z
Fall 2025,COMP 333,,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,0,0,0,0,0,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,333,1,10,26,17,28,9,3,2026-02-04T02:31:15.929Z
Fall 2025,COMP 333,,0,0,0,0,0,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,333,1,10,26,17,28,9,3,2,2026-02-04T02:31:15.929Z
Fall 2025,COMP 333,,33311026172893220000000432371516352410103111020020124816713143522824209119603000387815309341141010200,333,1,10,26,17,28,9,3,2,2,0,0,0,0,0,2026-02-04T02:31:15.929Z
Fall 2025,COMP 333,,333,1,10,26,17,28,9,3,2,2,0,0,0,0,0,0,2026-02-04T02:31:15.929Z
Fall 2025,COMP 333,,1,10,26,17,28,9,3,2,2,0,0,0,0,0,0,0,2026-02-04T02:31:15.929Z
Fall 2025,COMP 432,,3,7,15,16,35,24,10,10,3,1,1,1,0,2,0,0,2026-02-04T02:31:15.929Z
Fall 2025,ENGR 201,,248,167,131,43,52,28,24,20,9,11,9,6,0,30,0,0,2026-02-04T02:31:15.929Z
Fall 2025,SOEN 387,,8,15,30,9,3,4,1,1,4,1,0,1,0,2,0,0,2026-02-04T02:31:15.929Z
